ID,Title,Description,URL,Format,Tags,Tone,Audience,Source,Language,combined,clean
1,How to Manage Fear and Anxiety,Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-overcome-anxiety-and-fear,Guide,anxiety|coping|fear|mental-health,supportive,all,Mental Health Foundation,English,How to Manage Fear and Anxiety Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life. anxiety|coping|fear|mental-health Guide supportive all English,manag fear anxieti comprehens guid explain origin fear anxieti practic cope strategi daili life anxieti cope fear mental health guid support english
227,Study Music for Focus,Two-hour instrumental study music to improve concentration and reduce stress during work.,https://www.youtube.com/watch?v=5qap5aO4i9A,Audio,focus|studying|concentration|music,calm,students,Greenred Productions,English,Study Music for Focus Two-hour instrumental study music to improve concentration and reduce stress during work. focus|studying|concentration|music Audio calm students English,studi music focu two hour instrument studi music improv concentr reduc stress work focu studi concentr music audio calm student english
227,Study Music for Focus,Two-hour instrumental study music to improve concentration and reduce stress during work.,https://www.youtube.com/watch?v=5qap5aO4i9A,Audio,focus|studying|concentration|music,calm,students,Greenred Productions,English,Study Music for Focus Two-hour instrumental study music to improve concentration and reduce stress during work. focus|studying|concentration|music Audio calm students English,studi music focu two hour instrument studi music improv concentr reduc stress work focu studi concentr music audio calm student english
228,Toxic Productivity Guide,Article examining toxic productivity culture and strategies for healthier approach to achievement.,https://www.verywellmind.com/what-is-toxic-productivity-5097983,Article,productivity|burnout|balance|wellness,informative,students,Verywell Mind,English,Toxic Productivity Guide Article examining toxic productivity culture and strategies for healthier approach to achievement. productivity|burnout|balance|wellness Article informative students English,toxic product guid articl examin toxic product cultur strategi healthier approach achiev product burnout balanc well articl inform student english
228,Toxic Productivity Guide,Article examining toxic productivity culture and strategies for healthier approach to achievement.,https://www.verywellmind.com/what-is-toxic-productivity-5097983,Article,productivity|burnout|balance|wellness,informative,students,Verywell Mind,English,Toxic Productivity Guide Article examining toxic productivity culture and strategies for healthier approach to achievement. productivity|burnout|balance|wellness Article informative students English,toxic product guid articl examin toxic product cultur strategi healthier approach achiev product burnout balanc well articl inform student english
229,Bilateral Stimulation Audio,EMDR-inspired bilateral audio stimulation for trauma processing and anxiety reduction.,https://www.youtube.com/watch?v=EdNZVQJZC-4,Audio,trauma|emdr|processing|anxiety,calm,all,EMDR International,English,Bilateral Stimulation Audio EMDR-inspired bilateral audio stimulation for trauma processing and anxiety reduction. trauma|emdr|processing|anxiety Audio calm all English,bilater stimul audio emdr inspir bilater audio stimul trauma process anxieti reduct trauma emdr process anxieti audio calm english
229,Bilateral Stimulation Audio,EMDR-inspired bilateral audio stimulation for trauma processing and anxiety reduction.,https://www.youtube.com/watch?v=EdNZVQJZC-4,Audio,trauma|emdr|processing|anxiety,calm,all,EMDR International,English,Bilateral Stimulation Audio EMDR-inspired bilateral audio stimulation for trauma processing and anxiety reduction. trauma|emdr|processing|anxiety Audio calm all English,bilater stimul audio emdr inspir bilater audio stimul trauma process anxieti reduct trauma emdr process anxieti audio calm english
230,Malaysian Psychiatric Association,Professional resources and public education materials about mental health from MPA.,https://www.psychiatry-malaysia.org/,Article,mental-health|education|malaysia|resources,informative,all,MPA,English,Malaysian Psychiatric Association Professional resources and public education materials about mental health from MPA. mental-health|education|malaysia|resources Article informative all English,malaysian psychiatr associ profession resourc public educ materi mental health mpa mental health educ malaysia resourc articl inform english
230,Malaysian Psychiatric Association,Professional resources and public education materials about mental health from MPA.,https://www.psychiatry-malaysia.org/,Article,mental-health|education|malaysia|resources,informative,all,MPA,English,Malaysian Psychiatric Association Professional resources and public education materials about mental health from MPA. mental-health|education|malaysia|resources Article informative all English,malaysian psychiatr associ profession resourc public educ materi mental health mpa mental health educ malaysia resourc articl inform english
231,Activity Scheduling for Depression,Behavioral activation worksheet for planning mood-boosting activities to combat depression.,https://www.therapistaid.com/therapy-worksheet/activity-scheduling,Guide,depression|behavioral-activation|mood|planning,supportive,all,Therapist Aid,English,Activity Scheduling for Depression Behavioral activation worksheet for planning mood-boosting activities to combat depression. depression|behavioral-activation|mood|planning Guide supportive all English,activ schedul depress behavior activ worksheet plan mood boost activ combat depress depress behavior activ mood plan guid support english
231,Activity Scheduling for Depression,Behavioral activation worksheet for planning mood-boosting activities to combat depression.,https://www.therapistaid.com/therapy-worksheet/activity-scheduling,Guide,depression|behavioral-activation|mood|planning,supportive,all,Therapist Aid,English,Activity Scheduling for Depression Behavioral activation worksheet for planning mood-boosting activities to combat depression. depression|behavioral-activation|mood|planning Guide supportive all English,activ schedul depress behavior activ worksheet plan mood boost activ combat depress depress behavior activ mood plan guid support english
232,Deep Sleep Meditation,Hour-long guided meditation specifically designed to facilitate deep restorative sleep.,https://www.youtube.com/watch?v=aEqlQvczMJQ,Audio,sleep|meditation|deep-sleep|guided,calm,all,Jason Stephenson,English,Deep Sleep Meditation Hour-long guided meditation specifically designed to facilitate deep restorative sleep. sleep|meditation|deep-sleep|guided Audio calm all English,deep sleep medit hour long guid medit specif design facilit deep restor sleep sleep medit deep sleep guid audio calm english
232,Deep Sleep Meditation,Hour-long guided meditation specifically designed to facilitate deep restorative sleep.,https://www.youtube.com/watch?v=aEqlQvczMJQ,Audio,sleep|meditation|deep-sleep|guided,calm,all,Jason Stephenson,English,Deep Sleep Meditation Hour-long guided meditation specifically designed to facilitate deep restorative sleep. sleep|meditation|deep-sleep|guided Audio calm all English,deep sleep medit hour long guid medit specif design facilit deep restor sleep sleep medit deep sleep guid audio calm english
233,Taylor University Counselling MY,Taylor's University counselling services providing mental health support for students in Malaysia.,https://www.taylors.edu.my/student-life/student-support/counselling,Helpline,students|counseling|malaysia|university,supportive,students,Taylor's University,English,Taylor University Counselling MY Taylor's University counselling services providing mental health support for students in Malaysia. students|counseling|malaysia|university Helpline supportive students English,taylor univers counsel taylor univers counsel servic provid mental health support student malaysia student counsel malaysia univers helplin support student english
233,Taylor University Counselling MY,Taylor's University counselling services providing mental health support for students in Malaysia.,https://www.taylors.edu.my/student-life/student-support/counselling,Helpline,students|counseling|malaysia|university,supportive,students,Taylor's University,English,Taylor University Counselling MY Taylor's University counselling services providing mental health support for students in Malaysia. students|counseling|malaysia|university Helpline supportive students English,taylor univers counsel taylor univers counsel servic provid mental health support student malaysia student counsel malaysia univers helplin support student english
234,Communication Skills Workbook,Evidence-based workbook teaching effective communication to reduce relationship anxiety.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Communication,Guide,communication|relationships|skills|anxiety,supportive,all,CCI,English,Communication Skills Workbook Evidence-based workbook teaching effective communication to reduce relationship anxiety. communication|relationships|skills|anxiety Guide supportive all English,commun skill workbook evid base workbook teach effect commun reduc relationship anxieti commun relationship skill anxieti guid support english
